score_min,full_mdd_improved,mdd_improvement_window_count,return_tolerance_ok,economic_screen_pass,grid_edge,ann_delta_vs_0_full_pp,mdd_improve_vs_0_full_pp,ann_delta_vs_0p5_full_pp,ann_delta_vs_0_last_10y_pp,mdd_improve_vs_0_last_10y_pp,ann_delta_vs_0p5_last_10y_pp,ann_delta_vs_0_last_5y_pp,mdd_improve_vs_0_last_5y_pp,ann_delta_vs_0p5_last_5y_pp,ann_delta_vs_0_last_3y_pp,mdd_improve_vs_0_last_3y_pp,ann_delta_vs_0p5_last_3y_pp,ann_delta_vs_0_last_1y_pp,mdd_improve_vs_0_last_1y_pp,ann_delta_vs_0p5_last_1y_pp
0.0,False,0,True,False,False,0.0,0.0,-3.3869746669314695,0.0,0.0,0.898014508716849,0.0,0.0,0.2481562789716396,0.0,0.0,0.22708648164477818,0.0,0.0,-5.089487941543447
0.2,True,1,False,False,True,0.18945347522874023,2.380407023579778,-3.1975211917027293,-1.5118659763140085,-0.5926277648140882,-0.6138514675971596,-1.483085077529639,-0.5926277648140188,-1.2349287985579993,-1.5957283670856137,5.828670879282072e-14,-1.3686418854408355,-3.497423734279953,0.0,-8.5869116758234
0.3,True,1,False,False,False,1.6197100530319197,2.9521563732138487,-1.7672646138995496,-0.9811203983481398,-1.2996788962532175,-0.08310588963129084,-2.1810405030191715,-1.2996788962531591,-1.932884224047532,-0.3723113352640972,-1.5629048981932208,-0.14522485361931903,-1.2237497595681601,-1.5629048981931792,-6.313237701111607
0.4,True,1,False,False,False,2.454010409740132,8.7707625721187,-0.9329642571913377,-1.6504822972478683,-0.10755590593068964,-0.7524677885310194,-0.04191904851338912,-0.10755590593062858,0.2062372304582505,-3.4526745017589677,-2.3115499751237807,-3.2255880201141895,-8.706105413687332,-2.311549975123789,-13.795593355230778
0.5,True,5,True,True,False,3.3869746669314695,9.064638394386321,0.0,-0.898014508716849,0.06679807160450135,0.0,-0.2481562789716396,1.7637011663858504,0.0,-0.22708648164477818,1.0048737979620692,0.0,5.089487941543447,1.315949437464989,0.0
0.6,True,5,True,True,False,3.1403330892359804,8.831540077405847,-0.2466415776954889,-0.49754297204360753,1.3788364734056118,0.4004715366732414,0.32129198219050803,5.064710250025181,0.5694482611621476,-2.6999325838840793,1.3159494374649001,-2.472846102239301,7.995765402975286,1.3159494374649112,2.9062774614318387
0.7,True,5,False,False,False,-0.9952512576938688,8.800104542209148,-4.382225924625338,-6.842434137062359,1.695721708649542,-5.94441962834551,-4.19650314019056,5.60232918705583,-3.948346861218921,-4.473956521003375,1.3159494374649194,-4.246870039358597,10.382815853031136,1.315949437464989,5.2933279114876886
0.8,True,5,False,False,False,-4.21812394557218,8.80010454220917,-7.6050986125036495,-11.52177103577578,0.8307321330278616,-10.62375652705893,-10.485202258065529,4.410835659944351,-10.237045979093889,-8.54605813502911,2.3928272649756774,-8.318971653384333,6.010563795536528,2.3928272649756996,0.9210758539930808
0.9,True,2,False,False,False,-6.636504183587211,9.11418689777886,-10.02347885051868,-14.835795049326988,-2.659313815939779,-13.93778054061014,-11.878578504195069,0.6717236602503812,-11.63042222522343,-13.22648676390133,-3.626293349539411,-12.999400282256552,-8.481061933793832,-3.6262933495394307,-13.570549875337278
1.0,True,2,False,False,True,-8.03909421762237,8.86259469399262,-11.426068884553839,-15.90933457384158,-1.502417217542379,-15.01132006512473,-11.674583251739378,1.8476529681732412,-11.42642697276774,-12.803022523763197,-2.4503640416164902,-12.575936042118418,0.27249660879135607,-2.450364041616529,-4.816991332752091
