scenario,switch_buffer,min_hold_days,window,start,end,days,cagr,maxdd,sharpe,asset_changes,trade_count_delta,turnover_sum,cash_days,position_segments,non_cash_segments,avg_non_cash_hold_days,median_non_cash_hold_days,max_non_cash_hold_days,one_day_non_cash_segments,le2_day_non_cash_segments,le2_day_segment_share
switch_buffer_1.00,1.0,0,from_2020,2020-01-02,2026-05-08,1535,0.6046498183466706,-0.16540663933670907,1.9322335498650283,212,364,344.5,107,213,193,7.398963730569948,5.0,46,21,55,0.2849740932642487
switch_buffer_1.00,1.0,0,3Y,2023-05-08,2026-05-08,727,0.9997977591583516,-0.16540663933670918,2.726325251448377,96,168,162.5,53,97,90,7.488888888888889,5.0,46,7,21,0.23333333333333334
switch_buffer_1.00,1.0,0,1Y,2025-05-08,2026-05-08,243,0.936265919002575,-0.1333857222638163,2.7940871271004735,39,65,62.5,18,40,37,6.081081081081081,4.0,42,6,10,0.2702702702702703
switch_buffer_1.01,1.01,0,from_2020,2020-01-02,2026-05-08,1535,0.609399092577914,-0.16540663933670885,1.9437211793959759,210,363,343.5,107,211,191,7.476439790575916,5.0,46,19,52,0.27225130890052357
switch_buffer_1.01,1.01,0,3Y,2023-05-08,2026-05-08,727,1.0037371832774258,-0.16540663933670885,2.7339231180200922,94,167,161.5,53,95,88,7.659090909090909,5.0,46,6,18,0.20454545454545456
switch_buffer_1.01,1.01,0,1Y,2025-05-08,2026-05-08,243,0.9366741138470625,-0.13338572226381606,2.7946208517022324,39,65,62.5,18,40,37,6.081081081081081,4.0,42,6,10,0.2702702702702703
switch_buffer_1.02,1.02,0,from_2020,2020-01-02,2026-05-08,1535,0.60057981823609,-0.18114818211576256,1.9247589377907048,207,360,340.5,107,208,188,7.595744680851064,5.0,46,16,46,0.24468085106382978
switch_buffer_1.02,1.02,0,3Y,2023-05-08,2026-05-08,727,1.0072709044628803,-0.1654066393367093,2.7405745239598747,94,167,161.5,53,95,88,7.659090909090909,5.0,46,6,18,0.20454545454545456
switch_buffer_1.02,1.02,0,1Y,2025-05-08,2026-05-08,243,0.9469103132480841,-0.1333857222638163,2.8160833049238208,39,65,62.5,18,40,37,6.081081081081081,4.0,42,6,10,0.2702702702702703
switch_buffer_1.03,1.03,0,from_2020,2020-01-02,2026-05-08,1535,0.6105787179336151,-0.18114818211576322,1.950710332420864,207,359,339.5,107,208,188,7.595744680851064,5.0,46,17,46,0.24468085106382978
switch_buffer_1.03,1.03,0,3Y,2023-05-08,2026-05-08,727,1.0163068296390039,-0.16549301711857656,2.7575087157664084,94,167,161.5,53,95,88,7.659090909090909,5.0,46,6,18,0.20454545454545456
switch_buffer_1.03,1.03,0,1Y,2025-05-08,2026-05-08,243,0.9469103132480865,-0.13338572226381562,2.8160833049238225,39,65,62.5,18,40,37,6.081081081081081,4.0,42,6,10,0.2702702702702703
switch_buffer_1.04,1.04,0,from_2020,2020-01-02,2026-05-08,1535,0.6186130760494732,-0.18114818211576234,1.9695900163446955,207,358,338.5,107,208,188,7.595744680851064,5.0,46,17,47,0.25
