code,name,symbol,source,adjustment,first,last,rows
159915.SZ,创业板100ETF,159915.SZ,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2011-12-09,2026-05-08,3496
159941.SZ,纳指ETF,159941.SZ,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2015-07-13,2026-05-08,2627
513030.SH,德国ETF,513030.SH,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2014-09-05,2026-05-08,2832
513520.SH,日经ETF,513520.SH,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2019-06-25,2026-05-08,1665
159985.SZ,豆粕ETF,159985.SZ,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2019-12-05,2026-05-08,1554
518880.SH,黄金ETF,518880.SH,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2013-07-29,2026-05-08,3104
512100.SH,CSI1000_ETF,512100.SH,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2016-11-04,2026-05-08,2307
563300.SH,CSI2000_ETF_563300,563300.SH,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2023-09-14,2026-05-08,636
159531.SZ,CSI2000_ETF_159531,159531.SZ,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2023-09-18,2026-05-08,634
562660.SH,CSI2000_ETF_562660,562660.SH,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2023-09-14,2026-05-08,636
159532.SZ,CSI2000_ETF_159532,159532.SZ,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2023-09-21,2026-05-08,631
159533.SZ,CSI2000_ETF_159533,159533.SZ,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2024-06-07,2026-05-08,463
159535.SZ,CSI2000_ETF_159535,159535.SZ,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2023-09-22,2026-05-08,630
159536.SZ,CSI2000_ETF_159536,159536.SZ,QVeris cn_financial_pro.history_quotation.v1,"cps=3, stock_common close",2023-09-21,2026-05-08,631
